stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
3989133,,"Rotterdam, Stadhuis",51.923476,4.478032,0,stoparea:617494,,1,2,
3989135,,"Rotterdam, Beurs",51.918404,4.481143,0,stoparea:617449,,1,,
3989137,,"Rotterdam, Leuvehaven",51.913699,4.481761,0,stoparea:617468,,1,2,
3989163,,"Rotterdam, Wilhelminaplein",51.907308,4.49356,0,stoparea:618332,,1,2,
3989139,,"Rotterdam, Rijnhaven",51.903287,4.496706,0,stoparea:617489,,1,2,
3989141,,"Rotterdam, Maashaven",51.896816,4.494451,0,stoparea:617472,,1,2,
3989143,,"Rotterdam, Zuidplein",51.886557,4.488147,0,stoparea:617509,,1,2,
3989145,,"Rotterdam, Slinge",51.874295,4.477544,0,stoparea:617496,,1,2,
3989147,,"Rhoon, Rhoon",51.858953,4.418261,0,stoparea:617488,,1,2,
stoparea:617488,Rho,Rhoon,51.8590395,4.418927,1,,,0,,
3989149,,"Poortugaal, Poortugaal",51.861878,4.394897,0,stoparea:617485,,1,2,
stoparea:617485,Ptg,Poortugaal,51.861753,4.3955745,1,,,0,,
3989165,,"Hoogvliet Rotterdam, Tussenwater",51.862733,4.376163,0,stoparea:617502,,1,2,
3989159,,"Spijkenisse, De Akkers",51.83333,4.31928,0,stoparea:617444,,1,2,
3989164,,"Hoogvliet Rotterdam, Tussenwater",51.862519,4.377344,0,stoparea:617502,,1,1,
3989152,,"Poortugaal, Poortugaal",51.861628,4.396252,0,stoparea:617485,,1,1,
3989150,,"Rhoon, Rhoon",51.859126,4.419593,0,stoparea:617488,,1,1,
3989280,,"'s-Gravenhage, Den Haag Centraal",52.080343,4.32611,0,stoparea:617460,,1,,
stoparea:617460,Gvc,Den Haag Centraal,52.080343,4.32611,1,,,0,,
3989279,,"Den Haag, Laan van NOI",52.079598,4.344276,0,stoparea:617469,,1,2,
stoparea:617469,Lno,Laan van NOI,52.079399499999994,4.343719,1,,,0,,
3989277,,"Voorburg, Voorburg 't Loo",52.0818,4.366839,0,stoparea:617503,,1,2,
stoparea:617503,Vbl,Voorburg 't Loo,52.082006,4.366265,1,,,0,,
3989275,,"Voorburg, Leidschendam-Voorburg",52.076979,4.3832,0,stoparea:617467,,0,2,
stoparea:617467,Ldv,Leidschendam-Voorburg,52.077231499999996,4.382771,1,,,0,,
3989273,,"'s-Gravenhage, Forepark",52.069346,4.393654,0,stoparea:617457,,1,2,
stoparea:617457,Fpa,Forepark,52.0696535,4.393348,1,,,0,,
3989271,,"'s-Gravenhage, Leidschenveen",52.064123,4.401105,0,stoparea:617470,,1,2,
stoparea:617470,Lvn,Leidschenveen,52.0644255,4.400734,1,,,0,,
3989269,,"Nootdorp, Nootdorp",52.047347,4.414785,0,stoparea:617477,,1,2,
stoparea:617477,Ndp,Nootdorp,52.047705,4.41458,1,,,0,,
3989267,,"Pijnacker, Pijnacker Centrum",52.020351,4.437487,0,stoparea:617481,,1,2,
stoparea:617481,Pak,Pijnacker Centrum,52.0206175,4.4371244999999995,1,,,0,,
3989265,,"Pijnacker, Pijnacker Zuid",52.004598,4.445875,0,stoparea:617482,,1,2,
stoparea:617482,Paz,Pijnacker Zuid,52.004965999999996,4.445809000000001,1,,,0,,
3989263,,"Berkel en Rodenrijs, Berkel Westpolder",51.989862,4.454454,0,stoparea:618418,,1,2,
stoparea:618418,Bkw,Berkel Westpolder,51.990069000000005,4.454105,1,,,0,,
3989261,,"Berkel en Rodenrijs, Rodenrijs",51.974849,4.460966,0,stoparea:617487,,1,2,
stoparea:617487,Rdr,Rodenrijs,51.9752255,4.4608785,1,,,0,,
3989255,,"Rotterdam, Meijersplein / Airport",51.955685,4.462191,0,stoparea:617473,,1,2,
stoparea:617473,Mpl,Meijersplein / Airport,51.9560315,4.4622275,1,,,0,,
3989259,,"Rotterdam, Melanchthonweg",51.948182,4.464731,0,stoparea:617476,,1,2,
stoparea:617476,Mtw,Melanchthonweg,51.948490500000005,4.464572,1,,,0,,
3989257,,"Rotterdam, Blijdorp",51.930806,4.457847,0,stoparea:617446,,1,2,
stoparea:617446,Bdp,Blijdorp,51.930806,4.457847,1,,,0,,
4140484,,"Rotterdam, Rotterdam Centraal",51.923953,4.469997,0,stoparea:634809,,1,,
3989146,,"Rotterdam, Slinge",51.875017,4.477951,0,stoparea:617496,,1,3,
4140485,,"Rotterdam, Rotterdam Centraal",51.923953,4.469997,0,stoparea:634809,,1,,
3989256,,"Rotterdam, Blijdorp",51.930806,4.457847,0,stoparea:617446,,1,1,
3989258,,"Rotterdam, Melanchthonweg",51.948799,4.464413,0,stoparea:617476,,1,1,
3989254,,"Rotterdam, Meijersplein / Airport",51.956378,4.462264,0,stoparea:617473,,1,1,
3989260,,"Berkel en Rodenrijs, Rodenrijs",51.975602,4.460791,0,stoparea:617487,,1,1,
3989262,,"Berkel en Rodenrijs, Berkel Westpolder",51.99056,4.454061,0,stoparea:618418,,1,1,
3989264,,"Pijnacker, Pijnacker Zuid",52.005334,4.445743,0,stoparea:617482,,1,1,
3989266,,"Pijnacker, Pijnacker Centrum",52.020884,4.436762,0,stoparea:617481,,1,1,
3989268,,"Nootdorp, Nootdorp",52.048063,4.414375,0,stoparea:617477,,1,1,
3989270,,"'s-Gravenhage, Leidschenveen",52.064728,4.400363,0,stoparea:617470,,1,1,
3989272,,"'s-Gravenhage, Forepark",52.069961,4.393042,0,stoparea:617457,,1,1,
3989274,,"Voorburg, Leidschendam-Voorburg",52.077484,4.382342,0,stoparea:617467,,1,1,
3989276,,"Voorburg, Voorburg 't Loo",52.082212,4.365691,0,stoparea:617503,,1,1,
3989278,,"Den Haag, Laan van NOI",52.079201,4.343162,0,stoparea:617469,,1,1,
