service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
73599.061026.31,1,1,1,1,1,0,0,20261006,20261217
73611.070926.31,1,1,1,1,1,0,0,20260907,20261002
73611.061026.31,1,1,1,1,1,0,0,20261006,20261217
73623.070926.31,1,1,1,1,1,0,0,20260907,20261002
73623.061026.31,1,1,1,1,1,0,0,20261006,20261217
73635.070926.31,1,1,1,1,1,0,0,20260907,20261002
73635.061026.31,1,1,1,1,1,0,0,20261006,20261217
73647.070926.31,1,1,1,1,1,0,0,20260907,20261002
73647.061026.31,1,1,1,1,1,0,0,20261006,20261217
73659.070926.31,1,1,1,1,1,0,0,20260907,20261002
73659.061026.31,1,1,1,1,1,0,0,20261006,20261217
73671.070926.31,1,1,1,1,1,0,0,20260907,20261002
73671.061026.31,1,1,1,1,1,0,0,20261006,20261217
73683.070926.31,1,1,1,1,1,0,0,20260907,20261002
73683.061026.31,1,1,1,1,1,0,0,20261006,20261217
73695.070926.31,1,1,1,1,1,0,0,20260907,20261002
73695.061026.31,1,1,1,1,1,0,0,20261006,20261217
73707.070926.31,1,1,1,1,1,0,0,20260907,20261002
73707.061026.31,1,1,1,1,1,0,0,20261006,20261217
73719.070926.31,1,1,1,1,1,0,0,20260907,20261002
73719.061026.31,1,1,1,1,1,0,0,20261006,20261217
73731.070926.31,1,1,1,1,1,0,0,20260907,20261002
73731.061026.31,1,1,1,1,1,0,0,20261006,20261217
73743.070926.31,1,1,1,1,1,0,0,20260907,20261002
73743.061026.31,1,1,1,1,1,0,0,20261006,20261217
73755.070926.31,1,1,1,1,1,0,0,20260907,20261002
73755.061026.31,1,1,1,1,1,0,0,20261006,20261217
73767.070926.31,1,1,1,1,1,0,0,20260907,20261002
73767.061026.31,1,1,1,1,1,0,0,20261006,20261217
73779.070926.31,1,1,1,1,1,0,0,20260907,20261002
73779.061026.31,1,1,1,1,1,0,0,20261006,20261217
73791.070926.31,1,1,1,1,1,0,0,20260907,20261002
73791.061026.31,1,1,1,1,1,0,0,20261006,20261217
73803.070926.31,1,1,1,1,1,0,0,20260907,20261002
73803.061026.31,1,1,1,1,1,0,0,20261006,20261217
73815.070926.31,1,1,1,1,1,0,0,20260907,20261002
73815.061026.31,1,1,1,1,1,0,0,20261006,20261217
73827.070926.31,1,1,1,1,1,0,0,20260907,20261002
73827.061026.31,1,1,1,1,1,0,0,20261006,20261217
73839.070926.31,1,1,1,1,1,0,0,20260907,20261002
73839.061026.31,1,1,1,1,1,0,0,20261006,20261217
73851.070926.31,1,1,1,1,1,0,0,20260907,20261002
73851.061026.31,1,1,1,1,1,0,0,20261006,20261217
73863.070926.31,1,1,1,1,1,0,0,20260907,20261002
73863.061026.31,1,1,1,1,1,0,0,20261006,20261217
73875.070926.31,1,1,1,1,1,0,0,20260907,20261002
73875.061026.31,1,1,1,1,1,0,0,20261006,20261217
73887.070926.31,1,1,1,1,1,0,0,20260907,20261002
73887.061026.31,1,1,1,1,1,0,0,20261006,20261217
73899.070926.31,1,1,1,1,1,0,0,20260907,20261002
73899.061026.31,1,1,1,1,1,0,0,20261006,20261217
73911.070926.31,1,1,1,1,1,0,0,20260907,20261002
73911.061026.31,1,1,1,1,1,0,0,20261006,20261217
73923.070926.31,1,1,1,1,1,0,0,20260907,20261002
73923.061026.31,1,1,1,1,1,0,0,20261006,20261217
73935.070926.31,1,1,1,1,1,0,0,20260907,20261002
73935.061026.31,1,1,1,1,1,0,0,20261006,20261217
73947.070926.31,1,1,1,1,1,0,0,20260907,20261002
73947.061026.31,1,1,1,1,1,0,0,20261006,20261217
73959.070926.31,1,1,1,1,1,0,0,20260907,20261002
73959.061026.31,1,1,1,1,1,0,0,20261006,20261217
73971.070926.31,1,1,1,1,1,0,0,20260907,20261002
73971.061026.31,1,1,1,1,1,0,0,20261006,20261217
73983.070926.31,1,1,1,1,1,0,0,20260907,20261002
